Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,PC1,PC2,PC3,PC4,PC5,Regime
1992-04-30,1.09,-5.75,4.36,1.65,2.4,0.32,-2.55,0.909895817933643,0.5210423067718762,2.354036314228762,-0.4465303284982733,0.22337335015956722,2
1992-05-31,0.3,0.2,1.11,-0.91,0.49,0.28,0.06,0.8762598668479007,0.409588856174302,2.4680324206209128,-0.5054951682333578,0.13206592493047928,2
1992-06-30,-2.33,-2.76,3.24,-0.06,0.95,0.32,-0.57,0.7512590559126098,0.33494094116886935,2.5567932338228476,-0.2958991226090369,0.07685497486415278,2
1992-07-31,3.78,-0.65,-0.51,1.24,-0.97,0.31,1.47,0.24929729634575623,0.1484014039240473,2.5468012635892814,-0.3973204443670497,-0.04684426603452621,2
1992-08-31,-2.38,-0.39,-1.09,3.66,-1.64,0.26,-0.47,0.14737586498931202,0.23305538747389612,2.3067959525542148,-0.5098973694424166,0.05535093692480822,2
1992-09-30,1.19,0.47,-0.19,1.61,-0.68,0.26,1.44,-0.0714506168292608,0.17004809681429275,2.3298341674219896,-0.5234552560349772,0.0431568410737217,2
1992-10-31,1.02,2.09,-1.98,1.19,-0.91,0.23,2.5,0.02836147462132239,0.19803616530809487,2.30216502406213,0.4057943389480018,0.1064383902882408,2
1992-11-30,4.14,3.88,-1.52,-0.54,-1.58,0.23,-0.25,0.3349188999819844,0.18956540182287734,2.3191624761389114,-0.27682816260376975,0.05521109262634147,2
1992-12-31,1.53,1.65,2.64,-0.52,0.83,0.28,4.33,0.3800341377076379,0.1578490676649355,2.1481411452551606,-0.883232066418958,0.06226680340580623,2
1993-01-31,0.93,1.94,5.9,-1.9,2.94,0.23,4.85,0.3015606641691362,0.18827878492610856,2.163217206194118,-0.14343035568478074,-0.8255520333370319,2
1993-02-28,0.12,-3.37,6.48,-0.47,4.15,0.22,3.18,0.09812132071597687,0.36034635718023483,1.8156237425373951,-0.4736110086109215,-0.6268221438133166,2
1993-03-31,2.32,0.09,1.26,-0.22,0.82,0.25,3.7,0.020990030459516994,0.41092681580718415,1.5516595976223357,-0.7660065243547607,-0.5420845899133862,2
1993-04-30,-3.05,-0.81,2.55,-3.69,1.38,0.24,0.36,0.0868643544766913,-0.08521546167423347,1.8939832988827998,-0.13130704473636873,-0.48280181704128006,2
1993-05-31,2.89,1.94,-3.46,-0.14,-1.03,0.22,0.21,0.10879723441259373,0.08893313633356058,1.7929558366765574,-0.30422309892798666,-0.37180985335945943,2
1993-06-30,0.3,0.12,2.64,-0.91,1.16,0.25,4.57,0.20426936625637426,0.2373193449697198,1.4791395213596183,-1.0299754786787647,-0.24199155857028162,2
1993-07-31,-0.34,0.96,2.87,-1.84,2.05,0.24,3.22,0.2498147837523616,0.0740223166483333,1.4380154548679738,-0.8652145457522556,-0.4400994343729461,2
1993-08-31,3.72,0.08,0.18,-1.52,0.04,0.25,2.54,0.37852230464315556,-0.1030753480905368,1.4023462311573056,-0.7018040802094857,-0.5318132461021703,2
1993-09-30,-0.12,3.02,-0.24,0.25,-0.19,0.26,3.39,0.29017173840859906,-0.015608472344392294,1.100068733963103,-0.8011228135178774,-0.42321363709414894,2
1993-10-31,1.41,1.86,-2.78,0.61,0.56,0.22,-2.67,0.5407083387578601,-0.8353602843412389,1.501401436652691,0.09148597631230286,-0.050107445386608794,2
1993-11-30,-1.87,-1.31,-0.78,2.19,-1.03,0.25,-4.77,0.5591382633208231,-0.4053698479491509,1.4172027439183286,-0.2959469369691507,0.233895727459399,2
1993-12-31,1.65,1.35,0.25,1.14,-0.35,0.23,2.33,0.6222437136601298,-0.514776042307387,1.4277177174290483,-0.7143263967308554,0.17217653308151024,2
1994-01-31,2.87,-0.05,1.1,-1.54,1.39,0.25,0.11,0.45458989067039374,-0.10288025105103629,1.2700186362998267,-1.3591223842733222,0.020338485670475963,2
1994-02-28,-2.55,2.62,-1.52,2.08,-0.94,0.21,-0.34,0.8079088675370724,-0.2563100590962002,1.4437531603234541,-0.2860544434521512,-0.16083817748119983,2
1994-03-31,-4.79,-1.03,1.67,0.65,1.39,0.27,-1.32,1.0709870269108803,0.0019137216069499024,1.4889178982301157,-0.35682740495139015,-0.042732943466005154,2
1994-04-30,0.68,-1.0,1.66,1.05,1.14,0.27,0.33,1.3253014718134806,0.29056093828819274,1.4509814820435845,-0.8973527918506465,0.5233543606783794,1
1994-05-31,0.58,-2.49,0.6,0.64,0.6,0.32,-2.05,1.8573614750710488,0.007019511450977677,1.5011982029051112,-0.6715422003774733,0.27972369279361864,1
1994-06-30,-3.04,-0.52,1.77,1.05,1.5,0.31,-0.9,1.8879181820722437,-0.06891292380326847,1.5127319434587942,-0.42145942933549163,0.20988122399587017,1
1994-07-31,2.82,-1.87,0.61,-0.66,0.1,0.28,0.11,1.9878504410531848,0.11282297386629377,1.549649728723665,-0.2453331259374776,-0.5168765160724574,1
1994-08-31,4.02,1.44,-2.55,0.98,-1.52,0.37,1.54,2.1180881755576637,0.034750708155118035,1.4867022556461897,-0.1670574065247479,-0.5740082883000168,1
1994-09-30,-2.28,2.71,-1.81,0.56,1.06,0.37,1.32,2.127558290611026,0.45443270303092703,1.3303298585954135,-0.6648105039989907,-0.3019579649422638,1
1994-10-31,1.35,-2.22,-1.66,0.18,-0.73,0.38,1.31,2.2620023559288946,0.5916777400226656,1.278899142358861,-0.9709653009461668,0.3789874043900233,1
1994-11-30,-4.03,0.09,-0.73,0.48,-0.53,0.37,-0.12,2.7410590881720425,0.5040517813597476,1.2978546730604867,-0.2731477880384266,0.24857249058099493,1
1994-12-31,0.86,-0.05,-0.09,0.4,0.36,0.44,3.45,3.1286710563623816,0.4131444960169488,0.9351955661292449,-0.5986471553899094,0.18183929076543687,1
1995-01-31,1.8,-3.07,2.59,0.15,-0.65,0.42,-1.84,3.0754048086973276,0.550748403708022,0.9618945272533855,-0.5579741515687403,-0.6060148880615623,1
1995-02-28,3.63,-0.49,0.99,0.61,-0.4,0.4,-0.47,3.008727040877376,0.40365971655556965,0.9032294609396384,-0.4623306434069819,-0.6657970073512428,1
1995-03-31,2.19,-0.53,-2.13,-0.13,0.23,0.46,0.45,2.738026672337882,0.5527648530139105,0.7463026905567347,-0.7121193767811442,-0.5172003965858069,1
1995-04-30,2.11,-0.26,1.67,0.43,0.82,0.45,1.8,2.6717635973323173,0.3312124790347963,1.025148633602908,0.0228132517071648,-0.7687708636907027,1
1995-05-31,2.9,-2.17,2.28,0.41,0.01,0.54,-0.55,2.418350486389622,0.4604780819229285,0.6461929509202887,-0.6919350914927741,-0.5727251239040424,1
1995-06-30,2.72,3.05,-2.54,-0.23,-2.39,0.47,3.01,2.165441824569907,0.3535901212313152,0.5038457296557581,-0.6393524281311624,-0.5865196261356752,1
1995-07-31,3.71,2.12,-1.58,0.22,-1.58,0.45,2.6,2.1231038478531454,0.2836436244349859,0.6043701506707698,-0.797244077386932,-0.03910849853356638,1
1995-08-31,0.55,1.7,2.68,-1.17,1.49,0.47,0.05,2.234872412419781,0.25746233386484657,0.7116315569127089,-0.6201314784791526,-0.08414468868233377,1
