Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Mom,PC1,PC2,PC3,PC4,Regime,LaggedRegime
1994-11-30,-4.03,0.09,-0.73,0.48,-0.53,0.37,-0.12,2.741343494353778,0.4949135240578678,1.3023191451648992,-0.2754562107133024,1,1
1994-12-31,0.86,-0.05,-0.09,0.4,0.36,0.44,3.45,3.1289986223024258,0.4050304206074532,0.9392170380911686,-0.600295890181294,1,1
1995-01-31,1.8,-3.07,2.59,0.15,-0.65,0.42,-1.84,3.0767394990821733,0.5428066265269059,0.9618536684248793,-0.5518524901251237,1,1
1995-02-28,3.63,-0.49,0.99,0.61,-0.4,0.4,-0.47,3.0100328438730988,0.39607194947629765,0.9021680450283458,-0.4555906888314275,1,1
1995-03-31,2.19,-0.53,-2.13,-0.13,0.23,0.46,0.45,2.7392981760760393,0.5458840457996423,0.746799894724852,-0.7068965596692006,1,1
1995-04-30,2.11,-0.26,1.67,0.43,0.82,0.45,1.8,2.6730888062763536,0.3234364871819576,1.023152305034318,0.030555170684390783,1,1
1995-05-31,2.9,-2.17,2.28,0.41,0.01,0.54,-0.55,2.4196208694279715,0.45428839514183456,0.6459482385125253,-0.686172579036908,1,1
1995-06-30,2.72,3.05,-2.54,-0.23,-2.39,0.47,3.01,2.166666078133297,0.3480960894689606,0.5031245808681807,-0.63345349837895,1,1
1995-07-31,3.71,2.12,-1.58,0.22,-1.58,0.45,2.6,2.1236395673767747,0.27745367870517734,0.6066220999298108,-0.7967346013193919,1,1
1995-08-31,0.55,1.7,2.68,-1.17,1.49,0.47,0.05,2.2354238335254606,0.2508439387917529,0.7134473768806637,-0.619162716556153,1,1
1995-09-30,3.36,-1.86,-0.11,0.99,0.4,0.43,2.86,2.1938456519912446,0.19427259515240078,0.5161828084838476,-0.8063201064272396,1,1
1995-10-31,-1.51,-4.07,-0.49,1.93,-0.1,0.47,4.17,2.1647585613792577,0.23281518700161027,0.3957330372863839,-0.3129777360178807,1,1
